PATCH;"	BLUE";"	RED";"	WINNER";"	BB1";"	RB1";"	BB2";"	RB2";"	BB3";"	RB3";"	BP1";"	RP1";"	RP2";"	BP2";"	BP3";"	RP3";"	RB4";"	BB4";"	RB5";"	BB5";"	RP4";"	BP4";"	BP5";"	RP5"
8_14;JAG;GRF;RED;SHEN;TALIYAH;TRUNDLE;RAKAN;MORGANA;AATROX;TAHM KENCH;ORIANNA;KINDRED;SEJUANI;EZREAL;SORAKA;YASUO;LEBLANC;VARUS;AZIR;GANGPLANK;TEEMO;KARMA;JAYCE
8_14;GRF;JAG;RED;TAHM KENCH;AATROX;RAKAN;TALIYAH;ALISTAR;SHEN;ORIANNA;TRUNDLE;ELISE;EZREAL;JAYCE;MALPHITE;AZIR;VARUS;MORGANA;SORAKA;PYKE;BRAUM;DR. MUNDO;LEBLANC
8_14;JAG;GRF;BLUE;SHEN;AATROX;TRUNDLE;TALIYAH;YASUO;RAKAN;ORIANNA;ZOE;TAHM KENCH;SEJUANI;SKARNER;MORGANA;GANGPLANK;VARUS;EZREAL;ASHE;GNAR;KAISA;JHIN;CHOGATH
8_14;KZ;HLE;RED;ORIANNA;AATROX;SHEN;RAKAN;ZOE;TALIYAH;TAHM KENCH;EZREAL;VARUS;TRUNDLE;RYZE;BRAUM;SWAIN;KINDRED;SYNDRA;NOCTURNE;GNAR;VELKOZ;GRAGAS;GANGPLANK
8_14;HLE;KZ;RED;RAKAN;AATROX;SHEN;TALIYAH;TAHM KENCH;ORIANNA;EZREAL;VARUS;TRUNDLE;GRAGAS;BRAUM;ZOE;MORGANA;TALON;DARIUS;LEBLANC;GALIO;ALISTAR;CAMILLE;GANGPLANK
8_14;KZ;HLE;BLUE;ORIANNA;AATROX;SHEN;RAKAN;KALISTA;TALIYAH;EZREAL;TAHM KENCH;TRUNDLE;ZOE;AURELION SOL;KINDRED;VARUS;BRAUM;JHIN;ALISTAR;SORAKA;KAISA;GANGPLANK;ORNN
8_14;BBQ;GEN;RED;EZREAL;AATROX;ZOE;TALIYAH;GALIO;AZIR;VARUS;TRUNDLE;TAHM KENCH;ORIANNA;GRAGAS;ASHE;BRAUM;JAYCE;RAKAN;GANGPLANK;GNAR;ALISTAR;CORKI;KENNEN
8_14;GEN;BBQ;BLUE;AZIR;AATROX;KINDRED;TRUNDLE;JAYCE;TALIYAH;SEJUANI;VARUS;ORIANNA;ZOE;ASHE;GRAGAS;GANGPLANK;CAMILLE;GNAR;BRAUM;ALISTAR;TAHM KENCH;KENNEN;RUMBLE
8_14;SKT;AFS;BLUE;ALISTAR;AATROX;RAKAN;TALIYAH;ZOE;TAHM KENCH;SEJUANI;TRUNDLE;EZREAL;MORGANA;SHEN;JAYCE;ASHE;CAMILLE;KAISA;ORIANNA;SWAIN;JHIN;KENNEN;ANIVIA
8_14;AFS;SKT;BLUE;EZREAL;AATROX;TAHM KENCH;TALIYAH;MORGANA;RAKAN;SWAIN;ORIANNA;GRAGAS;ALISTAR;YASUO;TRUNDLE;KENNEN;DARIUS;DR. MUND;GNAR;SHEN;GANGPLANK;VLADIMIR;XAYAH
8_14;SKT;AFS;RED;YASUO;AATROX;SWAIN;TALIYAH;RAKAN;EZREAL;TAHM KENCH;VARUS;ASHE;ALISTAR;GRAGAS;ZAC;GNAR;KENNEN;CAMILLE;VLADIMIR;RYZE;GANGPLANK;JAYCE;VELKOZ
8_14;HLE;MVP;BLUE;RAKAN;AATROX;TAHM KENCH;TALIYAH;GALIO;TRUNDLE;SHEN;SEJUANI;EZREAL;BRAUM;SKARNER;ORIANNA;KALISTA;YASUO;TRISTANA;LEBLANC;RYZE;VARUS;CAMILLE;CHOGATH
8_14;MVP;HLE;RED;RYZE;AATROX;SHEN;RAKAN;KINDRED;TALIYAH;TRUNDLE;TAHM KENCH;BRAUM;SKARNER;EZREAL;JHIN;ORIANNA;LEBLANC;ZOE;YASUO;XERATH;AZIR;GANGPLANK;VLADIMIR
8_14;JAG;KT;BLUE;YASUO;AATROX;RAKAN;TALIYAH;LEBLANC;TAHM KENCH;SHEN;ALISTAR;ORIANNA;TRUNDLE;KINDRED;RYZ;GANGPLANK;JHIN;VARUS;EZREAL;KENNEN;KAISA;VLADIMIR;GNAR
8_14;KT;JAG;BLUE;TAHM KENCH;AATROX;MORGANA;TALIYAH;ZOE;SHEN;RAKAN;XAYAH;GRAGAS;TRUNDLE;TRISTANA;ORIANNA;GANGPLANK;YASUO;CAMILLE;AZIR;KENNEN;ALISTAR;RYZE;VLADIMIR
8_14;JAG;KT;RED;YASUO;AATROX;RAKAN;TALIYAH;RYZE;TAHM KENCH;SHEN;VARUS;EZREAL;MORGANA;ORIANNA;AZIR;TRUNDLE;CAMILLE;GRAGAS;KENNEN;SKARNER;SEJUANI;GANGPLANK;GNAR
8_14;SKT;GRF;RED;SHEN;TALIYAH;MORGANA;AATROX;YASUO;ASHE;TAHM KENCH;TRUNDLE;KINDRED;BRAUM;VARUS;KAISA;GNAR;KENNEN;LEBLANC;DARIUS;ORNN;CHOGATH;SWAIN;RYZE
8_14;GRF;SKT;BLUE;XAYAH;SHEN;SYNDRA;AATROX;KINDRED;TALIYAH;TRUNDLE;JAYCE;RYZE;TAHM KENCH;PYKE;ORIANNA;ELISE;GNAR;VARUS;MALPHITE;CHOGATH;GRAGAS;KAISA;EZREAL
8_14;GEN;JAG;BLUE;KINDRED;ASHE;LEBLANC;RAKAN;TALIYAH;AATROX;TRUNDLE;TAHM KENCH;VARUS;ORIANNA;ZOE;JHIN;SKARNER;BRAUM;SEJUANI;SORAKA;GNAR;NOCTURNE;ALISTAR;KENNEN
8_14;JAG;GEN;BLUE;ASHE;AATROX;VARUS;TALIYAH;RAKAN;KINDRED;TRUNDLE;SEJUANI;BRAUM;KAISA;CAITLYN;ORIANNA;CAMILLE;LEBLANC;ALISTAR;YASUO;GNAR;TAHM KENCH;SWAIN;KENNEN
8_14;GEN;JAG;BLUE;KINDRED;RAKAN;SWAIN;TRUNDLE;TALIYAH;AATROX;TAHM KENCH;GRAGAS;SEJUANI;BRAUM;ASHE;VARUS;GNAR;GANGPLANK;JAYCE;CAMILLE;CHOGATH;KENNEN;ZOE;ORIANNA
8_14;AFS;HLE;RED;MORGANA;AATROX;TAHM KENCH;TALIYAH;SHEN;YASUO;RAKAN;TRUNDLE;GRAGAS;LEONA;EZREAL;RYZE;KALISTA;VELKOZ;GANGPLANK;ZOE;GNAR;KAISA;ANIVIA;KENNEN
8_14;HLE;AFS;RED;YASUO;AATROX;GALIO;TALIYAH;ZOE;SHEN;TAHM KENCH;ALISTAR;JHIN;VARUS;RYZE;VELKOZ;DARIUS;CAMILLE;GANGPLANK;TRUNDLE;SKARNER;GRAGAS;CHOGATH;GNAR
8_14;AFS;HLE;RED;TAHM KENCH;AATROX;MORGANA;TALIYAH;RAKAN;YASUO;SHEN;TRUNDLE;CAMILLE;ALISTAR;RYZE;ZOE;DR. MUNDO;GALIO;EZREAL;LEBLANC;VARUS;KAISA;MALZAHAR;CHOGATH
8_14;KZ;BBQ;BLUE;MORGANA;AATROX;ALISTAR;RYZE;KINDRED;TALIYAH;TAHM KENCH;VARUS;GRAGAS;TRUNDLE;ASHE;AZIR;GANGPLANK;ZOE;GNAR;XERATH;CAMILLE;JAYCE;AURELION SOL;BRAUM
8_14;BBQ;KZ;RED;CAMILLE;AATROX;TRUNDLE;TALIYAH;JAYCE;EZREAL;VARUS;TAHM KENCH;SEJUANI;RYZE;ALISTAR;ASHE;GNAR;KENNEN;DARIUS;CHOGATH;AZIR;ZAC;DR. MUNDO;GANGPLANK
8_14;GEN;MVP;BLUE;KINDRED;EZREAL;RYZE;TRUNDLE;TALIYAH;AATROX;TAHM KENCH;ALISTAR;ASHE;KAISA;ZOE;ORIANNA;GANGPLANK;CAMILLE;SEJUANI;OLAF;GRAGAS;SKARNER;GNAR;KENNEN
8_14;MVP;GEN;RED;RAKAN;TALIYAH;TAHM KENCH;AATROX;TRUNDLE;RYZE;ORIANNA;ZOE;MORGANA;SEJUANI;VARUS;ASHE;SORAKA;GRAGAS;CAMILLE;ZAC;GANGPLANK;BRAUM;AMUMU;GNAR
8_14;HLE;KT;RED;SHEN;AATROX;RAKAN;TALIYAH;SEJUANI;ZOE;VARUS;TAHM KENCH;TRUNDLE;ASHE;BRAUM;AZIR;GRAGAS;RYZE;DARIUS;XERATH;CHOGATH;KINDRED;LEBLANC;KENNEN
8_14;KT;HLE;BLUE;RYZE;AATROX;BRAUM;TALIYAH;ZOE;AZIR;TAHM KENCH;VARUS;EZREAL;ALISTAR;GRAGAS;TRUNDLE;CAMILLE;KENNEN;SWAIN;GNAR;JAYCE;GANGPLANK;LEBLANC;MALZAHAR
8_14;AFS;JAG;BLUE;MORGANA;RAKAN;TAHM KENCH;SHEN;BRAUM;PYKE;AATROX;TALIYAH;GRAGAS;ALISTAR;SWAIN;RYZE;CHOGATH;VELKOZ;GANGPLANK;CAMILLE;OLAF;GNAR;KENNEN;EZREAL
8_14;JAF;AFS;RED;RAKAN;AATROX;ALISTAR;TALIYAH;MORGANA;SHEN;TAHM KENCH;VARUS;ASHE;BRAUM;GRAGAS;SEJUANI;GANGPLANK;ZOE;YASUO;LEBLANC;SYNDRA;AZIR;KENNEN;RYZE
8_14;GRF;BBQ;BLUE;ORIANNA;AATROX;ALISTAR;TALIYAH;SYNDRA;JAYCE;TAHM KENCH;RYZE;ZOE;VARUS;KAISA;TRUNDLE;KENNEN;KINDRED;CAMILLE;GNAR;GRAVES;MORGANA;CHOGATH;CAITLYN
8_14;BBQ;GRF;RED;MORGANA;AATROX;SHEN;TALIYAH;TAHM KENCH;KINDRED;RYZE;ALISTAR;GRAGAS;TRUNDLE;EZREAL;KAISA;JAYCE;CAMILLE;ZOE;KENNEN;AZIR;GNAR;BRAUM;VELKOZ
8_14;SKT;KZ;RED;JAYCE;AATROX;TRUNDLE;TALIYAH;AURELION SOL;VARUS;RYZE;ASHE;BRAUM;TAHM KENCH;EZREAL;CAMILLE;GNAR;KENNEN;DARIUS;KINDRED;OLAF;SEJUANI;GANGPLANK;ZOE
8_14;KZ;SKT;BLUE;MORGANA;AATROX;RAKAN;TALIYAH;RYZE;CAMILLE;TAHM KENCH;VARUS;ASHE;BRAUM;GRAGAS;TRUNDLE;LEBLANC;GNAR;KENNEN;DARIUS;ZOE;CHOGATH;KINDRED;ORIANNA
8_14;MVP;KT;RED;YASUO;AATROX;RAKAN;TALIYAH;RYZE;TRUNDLE;TAHM KENCH;BRAUM;ZOE;ASHE;JHIN;AZIR;GNAR;GANGPLANK;JAYCE;SKARNER;ZAC;SEJUANI;CAMILLE;JARVAN IV
8_14;KT;MVP;BLUE;ZOE;AATROX;RYZE;TALIYAH;TRUNDLE;TAHM KENCH;AZIR;GRAGAS;ASHE;VARUS;MORGANA;VELKOZ;CAMILLE;JAYCE;ALISTAR;KENNEN;GANGPLANK;GNAR;SEJUANI;JHIN
